target_id	length	eff_length	est_counts	tpm
Sb10g000101.1	1056	875.159	160	3.92261
Sb10g000200.1	1305	1124.16	8	0.152688
Sb10g000210.1	1288	1107.16	1634	31.6653
Sb10g000220.1	339	158.511	1	0.135358
Sb10g000230.1	1001	820.159	44614	1167.12
Sb10g000240.1	2903	2722.16	1835	14.4632
Sb10g000250.1	1408	1227.16	358	6.25927
Sb10g000260.1	2115	1934.16	126	1.39772
Sb10g000270.1	1433	1252.16	291	4.98626
Sb10g000280.1	2266	2085.16	300	3.08691
Sb10g000290.1	282	102.825	8	1.66929
Sb10g000300.1	1245	1064.16	97	1.95572
Sb10g000310.1	3417	3236.16	491	3.25532
Sb10g000320.1	1201	1020.16	0	0
Sb10g000320.2	1182	1001.16	0	0
Sb10g000330.1	1490	1309.16	8	0.131111
Sb10g000340.1	1389	1208.16	10	0.17759
Sb10g000350.1	2974	2793.16	475	3.64871
Sb10g000360.1	1816	1635.16	261	3.4247
Sb10g000370.1	1335	1154.16	0	0
Sb10g000380.1	955	774.159	483	13.3862
Sb10g000390.1	2528	2347.16	119	1.08779
Sb10g000390.2	1960	1779.16	0	0
Sb10g000400.1	3105	2924.16	1439	10.5585
Sb10g000410.1	6012	5831.16	908	3.34097
Sb10g000415.1	498	317.247	0	0
Sb10g000420.1	1299	1118.16	226.629	4.34864
Sb10g000430.1	2832	2651.16	503.45	4.07439
Sb10g000440.1	1863	1682.16	561.55	7.16247
Sb10g000445.1	2994	2813.16	1949	14.8648
Sb10g000450.1	1345	1164.16	297	5.47376
Sb10g000460.1	1020	839.159	0	0
Sb10g000470.1	2332	2151.16	60	0.59844
Sb10g000480.1	1905	1724.16	2	0.0248882
Sb10g000490.1	1822	1641.16	62	0.810555
Sb10g000495.1	288	108.654	1	0.197467
Sb10g000500.1	3314	3133.16	683	4.67713
Sb10g000510.1	402	221.325	0	0
Sb10g000520.1	2002	1821.16	58	0.683316
Sb10g000525.1	705	524.159	13	0.532135
Sb10g000530.1	1227	1046.16	0	0
Sb10g000535.1	480	299.247	0	0
Sb10g000540.1	2367	2186.16	229	2.24748
Sb10g000550.1	1260	1079.16	28	0.556691
Sb10g000560.1	939	758.159	45.6023	1.29053
Sb10g000570.1	5814	5633.16	738	2.8109
Sb10g000580.1	1050	869.159	4	0.0987421
Sb10g000590.1	1524	1343.16	2036	32.5231
Sb10g000600.1	1407	1226.16	21	0.367463
Sb10g000610.1	678	497.21	13.3571	0.576389
Sb10g000620.1	2109	1928.16	2	0.0222551
Sb10g000630.1	285	105.751	32.2677	6.54672
Sb10g000635.1	696	515.159	13	0.541432
Sb10g000640.1	2364	2183.16	1	0.0098278
Sb10g000650.1	768	587.159	215.318	7.86805
Sb10g000660.1	1986	1805.16	180	2.13943
Sb10g000670.1	807	626.159	2	0.068531
Sb10g000680.1	183	42.1982	0	0
Sb10g000690.1	1347	1166.16	401	7.37782
Sb10g000700.1	1008	827.159	11417	296.145
Sb10g000710.1	1148	967.159	65	1.44197
