target_id	length	eff_length	est_counts	tpm
Sb10g000101.1	1056	872.198	214	4.84293
Sb10g000200.1	1305	1121.2	8	0.140837
Sb10g000210.1	1288	1104.2	1370	24.4897
Sb10g000220.1	339	155.654	1	0.126809
Sb10g000230.1	1001	817.198	12691	306.534
Sb10g000240.1	2903	2719.2	2339	16.9785
Sb10g000250.1	1408	1224.2	648	10.448
Sb10g000260.1	2115	1931.2	186	1.90106
Sb10g000270.1	1433	1249.2	263	4.1556
Sb10g000280.1	2266	2082.2	370	3.50743
Sb10g000290.1	282	101.155	13	2.53667
Sb10g000300.1	1245	1061.2	113	2.1018
Sb10g000310.1	3417	3233.2	543	3.31495
Sb10g000320.1	1201	1017.2	0	0
Sb10g000320.2	1182	998.198	6	0.118644
Sb10g000330.1	1490	1306.2	0	0
Sb10g000340.1	1389	1205.2	2	0.0327553
Sb10g000350.1	2974	2790.2	720	5.09339
Sb10g000360.1	1816	1632.2	912	11.0289
Sb10g000370.1	1335	1151.2	1	0.0171459
Sb10g000380.1	955	771.198	533	13.6418
Sb10g000390.1	2528	2344.2	183	1.54087
Sb10g000390.2	1960	1776.2	0	0
Sb10g000400.1	3105	2921.2	427	2.8852
Sb10g000410.1	6012	5828.2	1280	4.33496
Sb10g000415.1	498	314.386	0	0
Sb10g000420.1	1299	1115.2	238	4.21245
Sb10g000430.1	2832	2648.2	287.612	2.14371
Sb10g000440.1	1863	1679.2	383.388	4.50657
Sb10g000445.1	2994	2810.2	1488	10.4514
Sb10g000450.1	1345	1161.2	156	2.65172
Sb10g000460.1	1020	836.198	3	0.0708144
Sb10g000470.1	2332	2148.2	6	0.0551298
Sb10g000480.1	1905	1721.2	4	0.0458711
Sb10g000490.1	1822	1638.2	37	0.445805
Sb10g000495.1	288	106.922	1.05498	0.194756
Sb10g000500.1	3314	3130.2	342	2.15657
Sb10g000510.1	402	218.386	0	0
Sb10g000520.1	2002	1818.2	15	0.162839
Sb10g000525.1	705	521.255	6	0.227201
Sb10g000530.1	1227	1043.2	0	0
Sb10g000535.1	480	296.386	0	0
Sb10g000540.1	2367	2183.2	115	1.03971
Sb10g000550.1	1260	1076.2	39	0.71529
Sb10g000560.1	939	755.198	35	0.91478
Sb10g000570.1	5814	5630.2	996	3.49177
Sb10g000580.1	1050	866.198	2	0.0455745
