target_id	length	eff_length	est_counts	tpm
Sb10g000101.1	1056	884.23	217	5.28132
Sb10g000200.1	1305	1133.23	15	0.284853
Sb10g000210.1	1288	1116.23	1738	33.5077
Sb10g000220.1	339	167.532	2	0.25691
Sb10g000230.1	1001	829.23	12673	328.891
Sb10g000240.1	2903	2731.23	2627	20.699
Sb10g000250.1	1408	1236.23	461	8.02509
Sb10g000260.1	2115	1943.23	120	1.32894
Sb10g000270.1	1433	1261.23	213	3.63441
Sb10g000280.1	2266	2094.23	372	3.82267
Sb10g000290.1	282	111.937	7	1.34578
Sb10g000300.1	1245	1073.23	94	1.88488
Sb10g000310.1	3417	3245.23	561	3.72019
Sb10g000320.1	1201	1029.23	1.32231e-07	2.76484e-09
Sb10g000320.2	1182	1010.23	3	0.0639071
Sb10g000330.1	1490	1318.23	2	0.0326503
Sb10g000340.1	1389	1217.23	3	0.0530392
Sb10g000350.1	2974	2802.23	1355	10.406
Sb10g000360.1	1816	1644.23	989	12.9444
Sb10g000370.1	1335	1163.23	0	0
Sb10g000380.1	955	783.23	362	9.94643
Sb10g000390.1	2528	2356.23	192	1.7536
Sb10g000390.2	1960	1788.23	0	0
Sb10g000400.1	3105	2933.23	766	5.61993
Sb10g000410.1	6012	5840.23	1348	4.96716
Sb10g000415.1	498	326.23	0	0
Sb10g000420.1	1299	1127.23	244.089	4.65998
Sb10g000430.1	2832	2660.23	617.831	4.99803
Sb10g000440.1	1863	1691.23	642.169	8.17136
Sb10g000445.1	2994	2822.23	1319	10.0577
Sb10g000450.1	1345	1173.23	161	2.95319
Sb10g000460.1	1020	848.23	5	0.126854
Sb10g000470.1	2332	2160.23	22	0.219165
Sb10g000480.1	1905	1733.23	7	0.086914
Sb10g000490.1	1822	1650.23	39	0.508591
Sb10g000495.1	288	117.658	0	0
Sb10g000500.1	3314	3142.23	451	3.08878
Sb10g000510.1	402	230.26	0	0
Sb10g000520.1	2002	1830.23	14	0.164615
Sb10g000525.1	705	533.23	5	0.201792
Sb10g000530.1	1227	1055.23	0	0
Sb10g000535.1	480	308.23	0	0
Sb10g000540.1	2367	2195.23	158	1.54891
Sb10g000550.1	1260	1088.23	14	0.276857
Sb10g000560.1	939	767.23	91	2.55249
Sb10g000570.1	5814	5642.23	837	3.19244
Sb10g000580.1	1050	878.23	11	0.269546
Sb10g000590.1	1524	1352.23	1629	25.925
Sb10g000600.1	1407	1235.23	27	0.470396
Sb10g000610.1	678	506.23	2.66667	0.113362
Sb10g000620.1	2109	1937.23	15	0.166632
Sb10g000630.1	285	114.834	78.3172	14.6769
Sb10g000635.1	696	524.23	19	0.779974
Sb10g000640.1	2364	2192.23	0	0
Sb10g000650.1	768	596.23	113.584	4.0997
Sb10g000660.1	1986	1814.23	84	0.996403
Sb10g000670.1	807	635.23	3	0.101634
Sb10g000680.1	183	43.0533	0	0
Sb10g000690.1	1347	1175.23	126	2.30726
Sb10g000700.1	1008	836.23	6646	171.034
Sb10g000710.1	1148	976.23	33	0.727461
Sb10g000720.1	1086	914.23	5970	140.529
Sb10g000730.1	1684	1512.23	259.001	3.6858
Sb10g000730.2	1600	1428.23	554.827	8.36003
Sb10g000730.3	1235	1063.23	138.172	2.79667
Sb10g000740.1	711	539.23	661	26.38
Sb10g000750.1	1464	1292.23	0	0
Sb10g000753.1	126	18.6538	0	0
Sb10g000756.1	792	620.23	0	0
Sb10g000760.1	291	120.574	0	0
Sb10g000770.1	816	644.23	0	0
Sb10g000780.1	717	545.23	0	0
Sb10g000790.1	831	659.23	0	0
Sb10g000800.1	1839	1667.23	452	5.83433
Sb10g000805.1	198	47.7938	198	89.1542
Sb10g000810.1	456	284.26	18	1.36271
Sb10g000815.1	2079	1907.23	0	0
Sb10g000820.1	1518	1346.23	0	0
Sb10g000830.1	1247	1075.23	19	0.380277
Sb10g000840.1	1074	902.23	37	0.882536
Sb10g000850.1	573	401.23	1	0.0536358
Sb10g000860.1	3072	2900.23	0	0
Sb10g000870.1	3640	3468.23	561.152	3.48194
Sb10g000880.1	1009	837.23	18.8479	0.484469
Sb10g000890.1	1118	946.23	4091	93.0424
Sb10g000900.1	861	689.23	1077	33.6279
Sb10g000910.1	654	482.23	391	17.449
Sb10g000915.1	216	55.7757	80	30.8669
Sb10g000920.1	1518	1346.23	49	0.783294
Sb10g000930.1	511	339.23	6	0.380632
Sb10g000940.1	1301	1129.23	1613	30.7397
Sb10g000950.1	582	410.23	0	0
Sb10g000960.1	1397	1225.23	14.6694	0.257657
Sb10g000960.2	1399	1227.23	3.33065	0.0584051
Sb10g000970.1	717	545.23	0	0
Sb10g000980.1	3815	3643.23	382	2.25645
Sb10g000990.1	1101	929.23	877	20.3107
Sb10g001000.1	345	173.464	479	59.4257
Sb10g001010.1	3144	2972.23	0	0
Sb10g001020.1	1680	1508.23	5	0.0713429
Sb10g001030.1	3342	3170.23	180	1.22188
Sb10g001040.1	591	419.23	7	0.35933
Sb10g001050.1	2063	1891.23	2210	25.1476
Sb10g001050.2	1988	1816.23	0	0
Sb10g001060.1	2815	2643.23	1376	11.2029
Sb10g001070.1	3162	2990.23	989	7.1177
Sb10g001080.1	561	389.23	70	3.87026
Sb10g001090.1	1605	1433.23	49	0.735747
Sb10g001100.1	1481	1309.23	96	1.57799
Sb10g001101.1	765	593.23	0	0
Sb10g001102.1	435	263.26	0	0
Sb10g001103.1	3246	3074.23	8	0.0560018
Sb10g001105.1	297	126.401	0	0
Sb10g001106.1	2168	1996.23	1151	12.4083
Sb10g001107.1	870	698.23	256	7.89023
Sb10g001108.1	375	203.281	0	0
Sb10g001110.1	2180	2008.23	343	3.6756
Sb10g001115.1	171	38.6771	0	0
Sb10g001120.1	2366	2194.23	20514	201.195
Sb10g001130.1	531	359.23	0	0
Sb10g001140.1	1269	1097.23	0	0
Sb10g001145.1	210	52.7224	19.6876	8.0361
Sb10g001150.1	1152	980.23	549	12.0529
Sb10g001160.1	1746	1574.23	340	4.64792
Sb10g001165.1	390	218.26	0	0
Sb10g001170.1	801	629.23	0	0
Sb10g001180.1	474	302.23	23	1.63772
Sb10g001190.1	240	72.5499	180	53.393
Sb10g001200.1	1287	1115.23	204	3.93653
Sb10g001210.1	597	425.23	25	1.26521
Sb10g001220.1	1237	1065.23	5892	119.033
Sb10g001230.1	1380	1208.23	20	0.356228
Sb10g001240.1	601	429.23	981	49.1844
Sb10g001250.1	2063	1891.23	285	3.24301
Sb10g001260.1	336	164.565	0	0
Sb10g001270.1	615	443.23	5285	256.604
Sb10g001280.1	1685	1513.23	1148	16.3262
Sb10g001290.1	1761	1589.23	5	0.0677067
Sb10g001300.1	821	649.23	0	0
Sb10g001310.1	2726	2554.23	2851	24.0207
Sb10g001320.1	1568	1396.23	748	11.529
Sb10g001330.1	1206	1034.23	223	4.64019
Sb10g001340.1	285	114.834	0	0
Sb10g001350.1	1470	1298.23	54	0.895139
Sb10g001360.1	762	590.23	0	0
Sb10g001370.1	1504	1332.23	778	12.5675
Sb10g001380.1	2422	2250.23	868	8.3012
Sb10g001390.1	669	497.23	346	14.975
Sb10g001400.1	1020	848.23	50	1.26854
Sb10g001410.1	1688	1516.23	3729	52.9268
Sb10g001420.1	2334	2162.23	10	0.0995282
Sb10g001430.1	1022	850.23	43	1.08838
Sb10g001440.1	1672	1500.23	0	0
Sb10g001450.1	1524	1352.23	0	0
Sb10g001460.1	660	488.23	0	0
Sb10g001470.1	2487	2315.23	0	0
Sb10g001480.1	642	470.23	0	0
Sb10g001485.1	324	152.802	141.414	19.9165
Sb10g001490.1	510	338.23	30.8551	1.96319
Sb10g001500.1	653	481.23	1	0.0447193
Sb10g001510.1	544	372.23	4142	239.468
Sb10g001515.1	348	176.411	21	2.56178
Sb10g001520.1	1641	1469.23	43	0.629835
Sb10g001530.1	2544	2372.23	1315.45	11.9335
Sb10g001540.1	1524	1352.23	53	0.843477
Sb10g001550.1	1278	1106.23	1015.59	19.7569
Sb10g001550.2	1108	936.23	34.413	0.791021
Sb10g001560.1	3018	2846.23	3125.45	23.6315
Sb10g001560.2	2920	2748.23	142.55	1.11625
Sb10g001570.1	597	425.23	0	0
Sb10g001580.1	2592	2420.23	1.00394	0.00892684
Sb10g001590.1	966	794.23	0	0
Sb10g001600.1	1515	1343.23	125	2.00266
Sb10g001610.1	1208	1036.23	1847	38.3583
Sb10g001620.1	1011	839.23	34	0.871859
Sb10g001630.1	1460	1288.23	196	3.27424
Sb10g001640.1	1776	1604.23	874	11.7245
Sb10g001650.1	1017	845.23	0	0
Sb10g001660.1	1287	1115.23	271	5.22941
Sb10g001670.1	2434	2262.23	198.547	1.88875
Sb10g001680.1	3067	2895.23	152	1.12982
Sb10g001690.1	1875	1703.23	0	0
Sb10g001700.1	1486	1314.23	1	0.0163748
Sb10g001710.1	933	761.23	0	0
Sb10g001715.1	201	48.9022	0	0
Sb10g001720.1	591	419.23	0	0
Sb10g001730.1	2287	2115.23	504	5.12768
Sb10g001740.1	637	465.23	492	22.7586
Sb10g001750.1	1834	1662.23	1393.29	18.0384
Sb10g001750.2	1489	1317.23	289.712	4.73319
Sb10g001760.1	546	374.23	0	0
Sb10g001770.1	750	578.23	2	0.0744351
Sb10g001780.1	508	336.23	4985	319.063
Sb10g001790.1	1155	983.23	2	0.0437747
Sb10g001800.1	1134	962.23	23	0.514395
Sb10g001810.1	1686	1514.23	524.328	7.45176
Sb10g001820.1	1233	1061.23	277	5.61718
Sb10g001830.1	2111	1939.23	476	5.28233
Sb10g001840.1	2309	2137.23	2105.26	21.1984
Sb10g001840.2	2390	2218.23	18.7403	0.18181
Sb10g001850.1	2151	1979.23	290	3.15319
Sb10g001860.1	969	797.23	552	14.9006
Sb10g001870.1	804	632.23	571	19.4361
Sb10g001873.1	863	691.23	2	0.0622667
Sb10g001876.1	423	251.26	0	0
Sb10g001880.1	1866	1694.23	93	1.1813
Sb10g001890.1	1538	1366.23	85.3578	1.34452
Sb10g001900.1	1479	1307.23	3113.64	51.2584
Sb10g001910.1	870	698.23	2	0.0616424
